StudentID,DeviceType,Study_Hours,Engagement_Score,Performance_Rating,Department,AgeGroup,Region,Internet_Performance_Impact
831,Desktop,5.0,74.08,73.35,Arts,18-22,North,3.93
832,Tablet,4.5,67.5,74.16,Arts,23-30,West,-9.63
833,Smartphone,3.2,78.32,74.36,Engineering,18-22,South,-0.54
834,Laptop,5.2,66.98,67.66,Arts,18-22,Central,2.54
835,Hybrid Device,6.4,78.42,77.21,Medical,Under 18,South,-5.31
836,Desktop,5.4,72.39,73.5,Business,18-22,East,-8.03
837,Smartphone,4.9,84.69,80.05,Engineering,Under 18,South,-9.35
838,Smartphone,4.0,66.25,81.47,Medical,18-22,North,-0.34
839,Tablet,4.9,79.13,82.86,Medical,18-22,West,-1.72
840,Tablet,4.9,62.97,80.83,Medical,18-22,South,-6.56
841,Hybrid Device,6.4,81.46,72.06,Sciences,Under 18,South,2.47
842,Hybrid Device,5.9,65.82,71.82,Sciences,23-30,West,1.03
843,Laptop,5.3,82.25,70.09,Business,Under 18,North,-5.85
844,Laptop,6.8,60.57,82.81,Medical,18-22,Central,1.3
845,Hybrid Device,5.9,51.95,76.78,Sciences,23-30,South,-6.33
846,Hybrid Device,5.1,61.39,76.15,Sciences,18-22,East,0.13
847,Desktop,6.1,78.89,70.6,Sciences,Under 18,North,-8.22
848,Tablet,5.3,79.04,77.62,Business,Under 18,North,0.38
849,Laptop,5.6,72.65,70.46,Business,23-30,South,-6.42
850,Tablet,5.6,77.01,76.06,Medical,Under 18,West,-1.41
851,Tablet,5.3,61.36,76.4,Engineering,18-22,South,-7.41
852,Hybrid Device,6.3,55.24,79.76,Medical,23-30,South,0.89
853,Desktop,5.8,60.16,76.53,Sciences,18-22,West,-9.09
854,Smartphone,4.9,69.42,75.44,Sciences,23-30,East,-7.52
855,Desktop,5.5,70.39,66.53,Arts,23-30,West,-7.24
856,Desktop,6.2,79.96,77.26,Medical,18-22,South,-9.38
857,Tablet,4.6,76.18,72.29,Sciences,Under 18,Central,1.18
858,Desktop,6.5,60.39,70.99,Sciences,18-22,West,4.71
859,Laptop,5.1,73.52,74.88,Engineering,Under 18,East,1.68
860,Tablet,4.1,78.82,72.29,Arts,Under 18,West,2.91
861,Laptop,6.6,79.24,77.41,Medical,18-22,West,-9.91
862,Smartphone,3.9,52.59,78.35,Business,23-30,North,-8.23
863,Tablet,4.7,62.43,79.7,Medical,18-22,North,-1.61
864,Smartphone,4.2,67.54,78.23,Medical,23-30,South,4.67
865,Tablet,5.4,80.01,76.12,Engineering,Under 18,South,-0.09
866,Hybrid Device,5.4,56.26,82.09,Medical,23-30,West,-4.39
867,Desktop,5.4,76.26,77.17,Engineering,18-22,Central,-7.81
868,Hybrid Device,6.9,53.22,72.07,Engineering,23-30,South,-7.71
869,Smartphone,4.2,83.89,77.38,Sciences,Under 18,West,-4.56
870,Desktop,5.8,73.02,70.66,Business,Under 18,West,0.71
871,Tablet,5.6,52.03,81.39,Engineering,23-30,West,-9.52
872,Desktop,6.1,75.09,65.28,Arts,Under 18,West,2.78
873,Laptop,5.5,72.82,72.71,Arts,Under 18,West,4.12
874,Desktop,5.4,63.17,75.35,Business,23-30,North,3.33
875,Laptop,5.8,80.3,77.06,Engineering,Under 18,East,3.7
876,Desktop,6.7,62.27,70.73,Business,23-30,East,-9.77
877,Laptop,5.1,66.52,71.91,Sciences,23-30,West,4.67
878,Smartphone,3.4,75.47,72.78,Arts,Under 18,South,-4.5
879,Hybrid Device,6.8,50.7,83.91,Medical,23-30,Central,3.04
880,Tablet,4.2,84.61,70.29,Arts,Under 18,West,-7.2
881,Desktop,6.3,82.29,75.53,Engineering,Under 18,Central,-3.3
882,Hybrid Device,5.4,71.1,70.6,Business,Under 18,North,-9.34
883,Tablet,5.2,68.98,71.82,Arts,18-22,East,-9.4
884,Tablet,4.8,79.53,77.78,Medical,Under 18,North,4.15
885,Laptop,5.2,54.76,75.55,Medical,23-30,South,2.16
886,Smartphone,4.2,64.45,76.66,Business,23-30,South,-2.05
887,Smartphone,4.4,63.34,74.86,Business,23-30,West,-2.12
888,Hybrid Device,6.4,64.17,65.12,Arts,18-22,South,1.23
889,Smartphone,4.3,62.82,73.11,Engineering,18-22,South,-4.87
890,Desktop,6.0,68.97,75.59,Sciences,23-30,North,1.43
891,Smartphone,4.0,58.06,75.64,Medical,23-30,Central,-2.72
892,Hybrid Device,6.3,64.88,78.66,Business,18-22,East,-0.43
893,Smartphone,4.4,68.45,72.49,Sciences,23-30,South,4.47
894,Desktop,6.3,81.04,70.71,Sciences,Under 18,South,-2.93
895,Laptop,6.2,74.15,76.08,Sciences,Under 18,North,-3.72
896,Hybrid Device,5.3,71.81,77.24,Engineering,23-30,East,3.59
897,Laptop,5.4,80.32,73.07,Business,Under 18,North,3.54
898,Laptop,5.5,58.64,79.06,Medical,23-30,Central,4.89
899,Laptop,6.8,68.55,70.21,Business,18-22,North,-1.74
900,Tablet,5.5,68.17,71.63,Arts,23-30,East,-4.84
901,Tablet,5.1,64.23,78.66,Medical,18-22,East,-6.39
902,Laptop,5.5,77.03,77.14,Business,Under 18,South,-9.49
903,Hybrid Device,5.2,79.8,81.28,Medical,Under 18,Central,0.9
904,Desktop,6.8,78.09,71.51,Arts,Under 18,West,-6.5
905,Desktop,6.8,65.21,82.93,Medical,23-30,South,-0.9
906,Smartphone,3.2,70.92,75.05,Sciences,18-22,North,3.75
907,Hybrid Device,6.6,63.98,76.19,Engineering,18-22,North,4.25
908,Tablet,4.9,76.15,68.9,Arts,Under 18,East,-9.93
909,Laptop,5.6,77.98,76.2,Medical,Under 18,East,-5.24
910,Smartphone,4.5,75.6,72.79,Arts,18-22,East,2.56
911,Desktop,6.2,66.35,76.09,Sciences,23-30,West,-1.95
912,Tablet,5.6,76.4,74.46,Engineering,Under 18,West,2.11
913,Tablet,4.1,74.36,73.63,Arts,23-30,South,2.8
914,Laptop,5.6,71.62,74.71,Sciences,Under 18,West,-3.36
915,Desktop,5.6,73.1,73.83,Sciences,Under 18,East,-4.62
916,Hybrid Device,5.7,58.53,70.14,Sciences,23-30,South,-3.17
917,Tablet,5.0,55.71,78.83,Medical,23-30,South,-0.21
918,Laptop,5.6,65.64,76.41,Business,23-30,Central,-4.49
919,Hybrid Device,5.9,50.99,65.9,Arts,23-30,West,1.62
920,Desktop,5.7,63.55,74.6,Business,18-22,North,3.56
921,Tablet,5.5,65.87,77.95,Sciences,18-22,North,-5.77
922,Hybrid Device,6.2,80.25,77.17,Business,Under 18,Central,4.47
923,Hybrid Device,6.3,83.14,74.37,Sciences,Under 18,East,-0.66
924,Hybrid Device,5.4,81.98,74.26,Sciences,Under 18,Central,3.17
925,Tablet,4.7,63.64,72.44,Engineering,18-22,East,-8.44
926,Tablet,4.0,64.14,81.57,Engineering,23-30,West,-6.23
927,Smartphone,3.2,70.45,79.28,Business,Under 18,West,-5.18
928,Desktop,5.5,66.21,71.82,Arts,18-22,South,-5.46
929,Laptop,5.1,82.09,70.99,Business,Under 18,South,-7.42
930,Hybrid Device,6.2,69.13,67.08,Arts,18-22,South,3.02
931,Smartphone,5.0,53.75,71.84,Business,23-30,South,-3.72
932,Laptop,5.2,68.77,80.2,Medical,18-22,North,4.45
933,Smartphone,4.6,54.95,77.08,Medical,23-30,South,-1.25
934,Tablet,4.2,75.9,71.96,Arts,Under 18,South,-7.92
935,Hybrid Device,6.3,62.2,77.45,Engineering,23-30,South,-1.81
936,Laptop,6.3,66.99,65.18,Arts,18-22,East,4.9
937,Laptop,6.8,84.05,77.44,Business,Under 18,South,-1.52
938,Laptop,5.2,78.44,71.51,Sciences,Under 18,Central,-9.97
939,Laptop,5.6,76.86,83.25,Medical,18-22,South,4.0
940,Laptop,5.2,69.02,72.84,Sciences,23-30,South,-6.48
941,Smartphone,3.8,73.22,78.39,Medical,18-22,North,0.33
942,Hybrid Device,6.8,62.42,70.12,Business,23-30,South,-2.27
943,Tablet,5.6,50.05,84.88,Medical,23-30,East,-5.12
944,Tablet,5.4,79.2,71.12,Arts,Under 18,West,-5.76
945,Tablet,5.1,58.9,73.38,Sciences,23-30,South,3.93
946,Tablet,5.8,71.77,70.77,Sciences,Under 18,South,3.68
947,Smartphone,3.9,68.89,76.99,Business,18-22,South,-2.3
948,Desktop,5.3,74.71,72.26,Sciences,18-22,North,-6.12
949,Hybrid Device,6.7,84.43,79.88,Business,Under 18,West,-8.46
950,Laptop,5.6,75.61,81.51,Engineering,Under 18,North,-7.65
951,Desktop,5.1,63.57,72.35,Arts,23-30,North,-2.17
952,Tablet,4.3,82.77,84.71,Medical,Under 18,North,-5.38
953,Desktop,6.2,66.68,76.06,Medical,18-22,East,-9.37
954,Hybrid Device,6.2,72.13,77.8,Medical,Under 18,West,-3.17
955,Laptop,5.5,74.23,74.53,Engineering,Under 18,East,1.19
956,Laptop,6.5,83.49,65.72,Arts,Under 18,East,3.38
957,Hybrid Device,6.5,53.98,77.78,Sciences,23-30,West,-1.22
958,Hybrid Device,6.8,74.94,70.48,Sciences,Under 18,East,0.85
959,Tablet,5.2,61.62,73.57,Arts,23-30,West,-4.54
960,Laptop,6.6,71.18,72.68,Arts,23-30,South,-2.56
961,Desktop,6.5,84.07,78.76,Medical,Under 18,North,0.94
962,Smartphone,3.5,60.65,70.15,Sciences,23-30,East,0.91
963,Smartphone,3.6,83.98,65.06,Arts,Under 18,West,-3.63
964,Hybrid Device,6.0,63.23,71.63,Sciences,18-22,Central,-1.84
965,Tablet,4.0,63.14,69.94,Arts,18-22,East,3.86
966,Smartphone,3.6,73.73,74.58,Business,23-30,East,-0.52
967,Laptop,5.9,70.19,80.85,Medical,18-22,West,-0.36
968,Hybrid Device,5.2,72.79,72.72,Arts,Under 18,Central,1.77
969,Desktop,5.3,62.2,75.77,Engineering,23-30,Central,-8.27
970,Hybrid Device,5.9,81.75,66.6,Arts,Under 18,South,-2.16
971,Desktop,6.5,70.67,78.0,Business,23-30,East,4.39
972,Hybrid Device,6.7,71.6,75.33,Engineering,23-30,North,-4.58
973,Hybrid Device,6.1,64.24,74.87,Engineering,23-30,East,-5.58
974,Hybrid Device,5.9,71.67,72.64,Arts,23-30,North,-0.98
975,Desktop,5.8,70.2,79.34,Business,18-22,North,-6.68
976,Desktop,5.4,72.14,81.15,Engineering,18-22,West,-1.66
977,Hybrid Device,5.3,75.17,76.37,Medical,18-22,East,-7.67
978,Smartphone,4.6,60.64,80.03,Medical,23-30,West,-1.3
979,Tablet,4.9,61.47,70.74,Sciences,18-22,South,-0.96
980,Tablet,5.6,58.75,77.69,Sciences,23-30,North,-3.72
981,Tablet,5.4,72.48,72.15,Business,18-22,Central,-4.26
982,Desktop,5.4,54.81,73.97,Engineering,23-30,North,-6.32
983,Desktop,6.0,62.97,83.89,Medical,18-22,South,-5.04
984,Smartphone,3.9,65.86,84.68,Medical,18-22,North,-2.52
985,Tablet,4.8,60.64,76.98,Business,18-22,West,-6.29
986,Tablet,5.1,68.59,73.21,Engineering,23-30,East,1.74
987,Hybrid Device,7.0,56.47,74.86,Business,23-30,Central,0.64
988,Desktop,6.6,62.48,73.17,Arts,18-22,West,-5.96
989,Tablet,5.8,67.48,80.72,Medical,23-30,East,-8.54
990,Smartphone,3.1,82.64,71.33,Business,Under 18,Central,-10.0
991,Smartphone,3.3,60.4,71.72,Business,18-22,South,-1.05
992,Tablet,4.2,64.67,73.64,Arts,18-22,North,-6.83
993,Desktop,5.5,84.18,74.22,Sciences,Under 18,Central,-9.81
994,Smartphone,3.9,59.63,82.06,Medical,23-30,South,-4.61
995,Hybrid Device,6.3,73.46,73.73,Business,23-30,East,4.43
996,Smartphone,4.0,56.86,80.32,Medical,23-30,Central,0.35
997,Laptop,6.8,64.36,77.82,Sciences,18-22,South,2.87
998,Laptop,6.9,64.28,73.3,Business,18-22,East,-7.83
999,Desktop,5.3,61.7,71.75,Arts,18-22,West,-8.9
1000,Tablet,5.7,77.93,76.73,Medical,18-22,North,-9.83
1001,Desktop,6.0,79.6,66.22,Arts,18-22,South,4.33
1002,Desktop,5.9,73.86,76.27,Sciences,23-30,West,-5.5
1003,Desktop,6.6,82.78,76.75,Sciences,Under 18,East,-3.11
1004,Desktop,5.2,71.17,81.68,Medical,23-30,Central,-4.08
1005,Hybrid Device,6.8,66.53,71.27,Sciences,23-30,North,0.96
1006,Hybrid Device,6.3,76.52,74.41,Engineering,18-22,East,-5.35
1007,Smartphone,4.8,73.13,84.11,Medical,Under 18,South,-1.97
1008,Laptop,7.0,75.82,74.89,Engineering,Under 18,North,4.93
1009,Desktop,6.0,66.02,76.55,Sciences,23-30,West,-3.34
1010,Smartphone,3.2,83.12,77.86,Medical,Under 18,North,-1.73
1011,Laptop,5.3,66.51,81.39,Engineering,23-30,West,-2.46
1012,Tablet,4.6,70.98,77.32,Sciences,23-30,East,2.05
1013,Hybrid Device,5.2,61.85,70.43,Business,23-30,Central,-6.0
1014,Laptop,6.6,67.93,77.7,Business,23-30,North,-7.44
1015,Tablet,4.6,79.6,66.69,Arts,18-22,Central,1.31
1016,Laptop,7.0,72.3,72.15,Business,Under 18,Central,-3.77
1017,Hybrid Device,6.4,78.54,76.6,Engineering,18-22,North,3.71
1018,Hybrid Device,5.3,70.45,75.76,Business,18-22,North,-0.34
1019,Smartphone,4.0,72.86,78.26,Medical,18-22,Central,-1.53
1020,Desktop,5.9,71.95,80.75,Medical,23-30,South,-8.94
1021,Laptop,6.0,60.24,76.71,Medical,23-30,South,0.96
1022,Laptop,6.1,68.37,70.22,Business,18-22,North,0.29
1023,Tablet,4.1,70.54,75.71,Business,18-22,Central,-0.4
1024,Hybrid Device,6.4,70.29,70.17,Arts,Under 18,Central,-5.98
1025,Laptop,6.0,69.93,75.52,Sciences,18-22,East,4.2
1026,Hybrid Device,6.6,57.28,71.5,Arts,23-30,Central,-5.18
1027,Laptop,6.6,78.56,80.97,Engineering,18-22,South,-7.72
1028,Smartphone,3.5,71.32,79.59,Medical,Under 18,East,4.81
1029,Desktop,5.1,76.89,70.08,Business,Under 18,South,1.19
1030,Laptop,6.4,78.95,75.05,Sciences,18-22,West,-3.78
1031,Hybrid Device,7.0,83.52,75.4,Sciences,Under 18,North,4.04
1032,Smartphone,3.9,80.52,75.21,Business,Under 18,West,-8.63
1033,Laptop,5.5,64.73,71.89,Arts,23-30,North,-8.69
1034,Tablet,4.3,74.21,72.59,Sciences,Under 18,South,0.24
1035,Desktop,5.6,75.5,66.49,Arts,Under 18,South,-7.33
1036,Laptop,5.7,61.8,76.65,Business,18-22,West,3.76
1037,Smartphone,3.8,69.65,67.45,Arts,23-30,North,2.61
1038,Tablet,5.3,74.86,79.56,Medical,Under 18,North,-5.4
1039,Smartphone,3.5,73.36,74.92,Business,18-22,East,3.33
1040,Smartphone,3.1,67.15,74.77,Business,18-22,Central,-9.36
1041,Tablet,4.7,69.29,74.79,Sciences,18-22,East,-1.77
1042,Smartphone,4.7,71.1,70.24,Sciences,18-22,South,4.03
1043,Tablet,5.0,76.04,77.92,Sciences,18-22,West,2.83
1044,Laptop,6.9,64.22,82.16,Medical,18-22,North,-4.66
1045,Tablet,5.0,75.98,79.25,Medical,Under 18,East,-7.26
1046,Tablet,4.6,53.25,73.91,Engineering,23-30,West,-6.84
1047,Desktop,5.4,51.89,70.8,Business,23-30,West,-2.28
1048,Tablet,5.4,72.09,75.38,Sciences,18-22,Central,-1.05
1049,Tablet,5.1,63.78,73.17,Business,18-22,North,-9.51
1050,Laptop,6.2,51.49,67.29,Arts,23-30,West,-3.8
1051,Desktop,6.5,83.46,78.8,Medical,Under 18,North,2.46
1052,Hybrid Device,6.5,70.69,77.93,Engineering,18-22,East,-3.34
1053,Laptop,5.1,53.37,71.72,Arts,23-30,West,-7.46
1054,Laptop,6.6,51.34,76.45,Business,23-30,West,4.32
1055,Hybrid Device,6.1,62.4,83.63,Medical,18-22,East,-6.01
1056,Tablet,4.8,61.78,71.75,Sciences,23-30,North,1.98
1057,Smartphone,4.1,80.03,71.37,Arts,Under 18,North,-7.09
1058,Desktop,6.2,66.03,76.01,Medical,23-30,West,-3.65
1059,Smartphone,3.3,62.89,75.48,Business,18-22,East,-2.64
1060,Hybrid Device,5.8,72.67,75.84,Business,18-22,South,-2.49
1061,Laptop,5.7,60.12,67.16,Arts,23-30,North,-2.25
1062,Laptop,5.7,61.62,68.92,Arts,23-30,South,-6.63
1063,Desktop,5.2,76.03,73.27,Arts,18-22,West,-2.26
1064,Laptop,5.3,74.99,73.48,Engineering,Under 18,South,-2.77
1065,Laptop,5.3,53.67,73.48,Sciences,23-30,South,-6.87
1066,Desktop,5.7,83.1,84.33,Medical,Under 18,North,4.82
1067,Desktop,6.8,73.18,75.04,Business,Under 18,West,2.98
1068,Hybrid Device,5.4,65.88,77.25,Business,18-22,South,3.31
1069,Laptop,5.8,74.13,76.61,Sciences,18-22,North,0.28
1070,Laptop,5.6,73.67,67.04,Arts,18-22,South,-7.6
1071,Hybrid Device,6.6,82.01,67.18,Arts,Under 18,North,-1.48
1072,Tablet,4.1,63.68,77.59,Business,18-22,West,2.32
1073,Tablet,4.4,67.05,76.03,Sciences,18-22,East,-9.42
1074,Tablet,4.4,71.89,70.6,Business,Under 18,North,-2.56
1075,Hybrid Device,7.0,78.12,68.22,Arts,Under 18,North,-4.06
1076,Laptop,6.1,74.39,78.99,Medical,Under 18,South,-6.82
1077,Hybrid Device,5.3,80.33,73.29,Arts,Under 18,West,-4.33
1078,Hybrid Device,5.5,50.01,79.22,Medical,23-30,Central,4.75
1079,Tablet,4.3,61.19,81.26,Engineering,18-22,Central,0.85
1080,Smartphone,3.2,60.81,77.97,Sciences,23-30,East,-5.51
1081,Laptop,6.6,84.37,79.81,Engineering,Under 18,West,-0.92
1082,Tablet,5.0,83.36,71.66,Arts,Under 18,North,-6.3
1083,Smartphone,4.3,84.91,73.14,Sciences,Under 18,Central,-0.84
1084,Smartphone,3.7,76.25,65.67,Arts,Under 18,East,3.44
1085,Desktop,6.1,70.7,74.59,Sciences,Under 18,West,-1.65
1086,Laptop,5.5,66.12,72.89,Sciences,18-22,East,1.0
1087,Smartphone,3.6,66.89,68.51,Arts,23-30,Central,-3.2
1088,Tablet,5.3,53.38,71.88,Arts,23-30,South,-2.14
1089,Desktop,5.3,66.0,73.71,Sciences,18-22,South,0.43
1090,Laptop,6.2,61.12,76.02,Sciences,18-22,West,2.19
1091,Hybrid Device,6.7,69.5,68.98,Arts,18-22,East,-0.11
1092,Tablet,4.2,55.22,66.51,Arts,23-30,North,4.66
1093,Smartphone,4.8,52.28,74.61,Business,23-30,Central,2.3
1094,Smartphone,3.2,76.17,79.51,Business,Under 18,South,1.66
1095,Tablet,4.7,58.78,78.02,Business,23-30,South,2.68
1096,Smartphone,4.2,63.44,74.06,Engineering,23-30,East,-5.78
1097,Desktop,6.1,74.98,73.13,Sciences,18-22,South,-3.52
1098,Laptop,5.2,52.81,84.28,Medical,23-30,East,-1.53
1099,Desktop,6.6,81.87,73.24,Engineering,Under 18,Central,-3.06
1100,Smartphone,4.9,50.66,72.03,Sciences,23-30,East,2.71
1101,Hybrid Device,5.4,68.86,77.62,Medical,18-22,South,-9.59
1102,Laptop,6.8,71.75,75.71,Business,18-22,East,-6.86
1103,Laptop,6.1,84.35,79.11,Medical,Under 18,South,3.23
1104,Tablet,5.9,78.61,65.8,Arts,Under 18,West,-9.11
1105,Tablet,4.4,53.97,71.29,Arts,23-30,South,-6.6
1106,Hybrid Device,6.6,77.76,70.79,Sciences,Under 18,South,-4.73
1107,Laptop,5.1,75.94,78.06,Engineering,Under 18,South,1.26
1108,Hybrid Device,6.8,69.59,75.07,Business,18-22,West,-1.6
1109,Tablet,5.3,63.94,73.95,Sciences,18-22,North,4.32
1110,Tablet,4.7,62.52,70.67,Business,23-30,South,-6.58
1111,Laptop,5.4,53.75,71.39,Arts,23-30,North,3.08
1112,Desktop,6.6,68.6,76.31,Engineering,23-30,Central,-5.76
1113,Smartphone,4.2,64.85,76.11,Engineering,23-30,East,-6.32
1114,Tablet,4.7,61.57,70.96,Arts,18-22,North,-2.52
1115,Tablet,4.9,72.24,81.06,Medical,23-30,Central,-8.93
1116,Desktop,6.7,65.41,72.15,Engineering,23-30,East,-4.24
1117,Desktop,5.7,74.74,76.25,Medical,Under 18,South,-4.66
1118,Hybrid Device,5.2,51.14,72.37,Business,23-30,South,-7.6
1119,Hybrid Device,6.8,79.48,78.78,Engineering,Under 18,South,2.91
1120,Smartphone,3.8,67.47,70.77,Arts,18-22,West,-4.21
1121,Smartphone,3.7,72.69,82.58,Medical,23-30,West,4.73
1122,Laptop,5.4,70.52,77.41,Business,Under 18,West,3.5
1123,Hybrid Device,6.8,50.98,78.53,Business,23-30,West,-7.08
1124,Tablet,4.4,84.24,75.77,Engineering,Under 18,Central,-2.42
1125,Hybrid Device,6.3,74.12,75.45,Engineering,23-30,Central,-0.97
1126,Tablet,5.8,60.55,76.65,Sciences,18-22,South,2.28
1127,Desktop,5.1,74.32,71.9,Sciences,18-22,East,3.28
1128,Hybrid Device,6.7,73.32,76.61,Engineering,Under 18,West,-0.64
1129,Desktop,5.8,80.52,71.55,Sciences,Under 18,East,-9.47
1130,Smartphone,4.3,77.37,74.14,Arts,18-22,Central,-2.78
1131,Smartphone,3.7,52.52,69.08,Arts,23-30,West,3.27
1132,Laptop,6.4,73.58,71.7,Sciences,Under 18,Central,0.71
1133,Hybrid Device,5.5,60.48,78.92,Engineering,18-22,Central,3.05
1134,Desktop,5.0,70.66,67.45,Arts,Under 18,North,0.11
1135,Tablet,5.9,60.59,79.44,Business,18-22,Central,-9.34
1136,Smartphone,3.0,76.01,75.68,Engineering,18-22,South,4.52
1137,Smartphone,4.6,74.47,81.65,Medical,Under 18,Central,3.77
1138,Tablet,4.3,77.4,78.45,Medical,Under 18,West,-8.1
1139,Desktop,5.8,75.76,80.07,Engineering,18-22,South,-8.31
1140,Desktop,6.6,62.37,77.18,Sciences,23-30,Central,-1.91
1141,Hybrid Device,5.4,68.58,72.88,Arts,18-22,South,1.36
1142,Hybrid Device,6.7,50.29,73.48,Arts,23-30,Central,-4.27
1143,Laptop,6.0,64.2,73.02,Engineering,23-30,South,-7.95
1144,Smartphone,3.7,53.12,79.24,Business,23-30,East,-2.34
1145,Hybrid Device,6.3,81.47,74.99,Sciences,Under 18,North,-4.94
1146,Desktop,5.7,65.15,78.69,Business,18-22,South,-4.72
1147,Tablet,4.7,73.48,78.84,Engineering,18-22,West,-0.33
1148,Desktop,6.5,66.16,74.02,Engineering,23-30,North,3.28
1149,Smartphone,3.6,65.42,76.1,Business,23-30,North,-1.62
1150,Desktop,5.4,56.67,75.91,Medical,23-30,Central,0.31
1151,Laptop,6.6,65.34,78.96,Engineering,18-22,South,-0.1
1152,Smartphone,4.6,71.58,73.27,Sciences,23-30,North,-1.73
1153,Tablet,5.0,60.26,71.52,Business,18-22,West,-5.34
1154,Laptop,6.1,63.63,84.79,Medical,18-22,West,-4.33
1155,Smartphone,4.4,79.15,79.01,Business,Under 18,West,-5.26
1156,Tablet,5.0,70.43,83.94,Medical,23-30,Central,3.76
1157,Laptop,5.8,58.96,82.89,Medical,23-30,East,2.4
1158,Laptop,7.0,66.34,75.54,Sciences,23-30,South,-1.31
1159,Smartphone,3.3,78.36,78.55,Engineering,Under 18,North,3.68
1160,Hybrid Device,6.2,51.61,76.06,Medical,23-30,South,3.3
1161,Laptop,6.8,72.44,81.01,Engineering,18-22,North,3.92
1162,Laptop,6.4,70.35,77.05,Sciences,23-30,Central,-6.67
1163,Tablet,5.8,79.85,79.48,Engineering,18-22,South,0.76
1164,Desktop,5.7,60.59,74.27,Arts,18-22,Central,-0.86
1165,Smartphone,3.5,73.2,80.53,Medical,18-22,Central,1.01
1166,Smartphone,4.7,68.29,73.58,Sciences,18-22,South,-6.05
1167,Hybrid Device,5.8,50.24,79.68,Business,23-30,South,0.42
1168,Hybrid Device,6.4,79.22,73.71,Sciences,Under 18,North,-3.85
1169,Smartphone,3.3,71.84,81.41,Medical,Under 18,West,2.51
1170,Hybrid Device,6.5,67.57,72.98,Sciences,18-22,Central,1.93
1171,Tablet,5.1,56.53,76.36,Business,23-30,East,-6.83
1172,Smartphone,3.5,75.42,72.2,Arts,Under 18,North,-7.24
1173,Hybrid Device,6.0,62.32,81.25,Medical,23-30,North,0.77
1174,Smartphone,4.4,75.39,80.15,Medical,Under 18,West,-1.74
1175,Desktop,5.0,71.05,72.4,Sciences,18-22,West,-1.64
1176,Laptop,6.3,64.77,78.44,Engineering,18-22,Central,1.29
1177,Smartphone,4.1,72.71,81.08,Engineering,18-22,North,2.82
1178,Laptop,5.4,82.81,70.07,Business,Under 18,North,-6.42
1179,Hybrid Device,6.5,55.6,66.34,Arts,23-30,East,-1.67
1180,Laptop,5.6,70.16,66.2,Arts,18-22,Central,2.43
1181,Smartphone,3.6,66.22,77.39,Sciences,23-30,Central,3.09
1182,Desktop,5.9,64.12,75.3,Sciences,23-30,West,-5.69
1183,Hybrid Device,6.4,67.31,81.52,Engineering,18-22,Central,-8.44
1184,Smartphone,4.9,79.63,70.83,Arts,Under 18,East,-6.51
1185,Hybrid Device,5.3,60.56,69.62,Arts,18-22,Central,4.18
1186,Tablet,4.8,67.4,72.92,Arts,18-22,South,-3.06
1187,Laptop,5.1,77.99,71.61,Business,Under 18,South,-3.72
1188,Tablet,5.5,50.52,73.81,Business,23-30,East,-9.8
1189,Smartphone,3.9,77.61,73.73,Sciences,Under 18,West,-9.23
1190,Desktop,6.4,79.81,74.98,Engineering,Under 18,North,0.03
1191,Hybrid Device,5.6,75.18,78.71,Medical,18-22,Central,-1.15
1192,Laptop,6.7,71.7,72.78,Engineering,Under 18,West,-1.37
1193,Hybrid Device,6.1,84.86,71.98,Business,Under 18,West,-8.35
1194,Smartphone,4.9,79.09,73.35,Business,Under 18,Central,-4.72
1195,Hybrid Device,5.2,59.08,76.37,Sciences,23-30,North,2.19
1196,Laptop,6.0,56.23,76.82,Medical,23-30,Central,-7.38
1197,Smartphone,4.5,71.46,68.47,Arts,18-22,North,3.24
1198,Hybrid Device,6.2,77.63,75.65,Medical,18-22,East,-8.18
1199,Desktop,5.0,63.01,80.57,Medical,23-30,North,-7.46
1200,Smartphone,4.9,79.92,81.11,Medical,Under 18,West,-2.83
1201,Smartphone,3.6,67.15,76.92,Sciences,18-22,East,4.18
1202,Desktop,5.5,67.76,78.19,Business,18-22,South,-5.06
1203,Tablet,5.0,74.29,67.85,Arts,Under 18,East,-0.13
1204,Laptop,6.1,80.58,76.37,Medical,Under 18,North,-1.17
1205,Tablet,5.5,75.39,66.56,Arts,Under 18,East,-7.76
1206,Hybrid Device,5.8,72.86,84.69,Medical,Under 18,East,-6.28
1207,Desktop,5.9,75.54,76.73,Business,Under 18,South,3.95
1208,Tablet,5.1,71.35,65.43,Arts,23-30,North,-7.23
1209,Smartphone,3.8,81.07,73.37,Engineering,Under 18,West,0.43
1210,Hybrid Device,6.8,66.69,74.86,Business,18-22,East,4.47
1211,Hybrid Device,6.7,72.67,67.08,Arts,23-30,Central,-8.21
1212,Tablet,4.9,61.5,83.04,Medical,18-22,West,-4.01
1213,Tablet,4.0,70.75,80.73,Medical,Under 18,East,-6.64
1214,Desktop,6.8,62.55,76.13,Business,18-22,West,-6.68
1215,Laptop,5.2,71.75,74.63,Business,Under 18,Central,-8.22
1216,Tablet,4.5,61.76,77.56,Medical,18-22,West,-0.26
1217,Tablet,4.3,73.23,70.89,Arts,18-22,West,1.2
1218,Smartphone,3.4,79.01,79.17,Engineering,Under 18,Central,0.15
1219,Hybrid Device,6.6,72.95,72.97,Sciences,18-22,Central,3.87
1220,Laptop,6.2,67.21,75.05,Business,23-30,Central,-7.81
